"Word","RTlexdec","RTnaming","Familiarity","WrittenFrequency","FamilySize","NounFrequency","VerbFrequency","Voice","AgeSubject"
"hulk",638.959999999998,464.400000000002,2.03,22.0000000000001,3,31,0,"voiceless","young"
"wealth",608.099999999998,459.6,4.43,1041,5,1040,0,"voiced","young"
"jeep",616.170000000002,434.799999999998,4.33,129,2,164,0,"voiced","young"
"hull",647.270000000001,450.100000000001,1.97,47.0000000000001,3,57,1,"voiceless","young"
"claw",585.69,485.799999999999,3.6,60.9999999999999,5,162,104,"voiceless","young"
"hone",787.410000000006,437.199999999999,2.07,9,3,6,15,"voiceless","young"
"mart",696.5,467.099999999999,4,13,2,13,0,"voiced","young"
"clay",554.749999999998,484.7,3.57,373.000000000002,5,372,0,"voiceless","young"
"phrase",591.780000000002,505,4.97,613.999999999998,9,811,59,"voiceless","young"
"feat",668.56,476,2.83,97.9999999999998,2,134,0,"voiceless","young"
"barge",706.499999999998,459.300000000001,3.23,63.9999999999999,5.99999999999997,85,31,"voiced","young"
"horn",632.809999999999,453.099999999999,3.87,167.000000000001,19,323,0,"voiceless","young"
"match",546.969999999998,440.899999999999,4.67,1020,20,1020,555,"voiced","young"
"birch",693.71,464.6,2.43,45,4,63,1,"voiced","young"
"plume",711.439999999997,492.600000000001,2.3,17.0000000000001,5,57,3,"voiceless","young"
"hide",566.109999999999,459.400000000001,4.55,579.000000000003,12,78,1804,"voiceless","young"
"seed",559.969999999998,481.299999999998,4,499,17.9999999999999,870,25,"voiceless","young"
"hill",591.070000000003,449.6,4.77,1259,12,2127,0,"voiceless","young"
"dill",723.669999999997,468.099999999998,2.87,8.00000000000003,2,7,0,"voiced","young"
"oil",517.3,453.299999999999,4.07,2218,28.9999999999999,2288,69,"voiced","young"
"mule",569.68,464.699999999999,2.8,83.0000000000002,5.99999999999997,158,0,"voiced","young"
"oak",545.029999999997,458.100000000002,3.27,255.000000000001,4,304,0,"voiced","young"
"flesh",575.029999999999,482.300000000002,3.63,931.000000000003,10,930,0,"voiceless","young"
"crypt",644.85,497.200000000002,2.57,25.9999999999999,5,31,0,"voiceless","young"
"rank",590.480000000002,448.399999999998,4.47,397,10,446,126,"voiced","young"
"guise",714.740000000002,489.499999999997,2.34,63.9999999999999,4,75,0,"voiced","young"
"keel",651.349999999998,465.2,2.73,41.0000000000001,3,46,0,"voiceless","young"
"seal",626.370000000004,460.899999999999,3.73,217,5.99999999999997,255,324,"voiceless","young"
"ice",550.929999999999,442.499999999998,5.13,935.000000000003,55,944,56,"voiced","young"
"seam",733.099999999999,470.799999999999,3.17,45,9,106,26,"voiceless","young"
"keen",656.960000000001,465.2,2.72,475,5.99999999999997,1,10,"voiceless","young"
"cub",659.859999999998,460.099999999999,2.67,47.0000000000001,3,76,0,"voiceless","young"
"hilt",653.329999999999,455.100000000002,1.93,20,2,20,0,"voiceless","young"
"cud",796.859999999996,485.999999999998,1.97,19,2,18,0,"voiceless","young"
"lapse",652.699999999999,461.299999999998,3.1,83.9999999999997,11,82,74,"voiced","young"
"cue",635.649999999999,480.000000000002,3.47,99.9999999999999,5,121,0,"voiceless","young"
"gear",621.580000000003,487.899999999999,4.2,405.999999999999,11,462,122,"voiced","young"
"arch",630.290000000003,445.499999999998,4.03,243,16,308,150,"voiced","young"
"cab",586.17,449.699999999999,4.27,178.999999999999,8.00000000000003,201,0,"voiceless","young"
"seat",592.029999999998,477.899999999999,5.4,1397,12,1944,336,"voiceless","young"
"feint",710.7,517.999999999998,1.73,15,3,15,14,"voiceless","young"
"thigh",585.599999999999,503.8,4.4,228,3,530,0,"voiceless","young"
"raft",663.960000000001,456.300000000002,3.2,58,5,69,2,"voiced","young"
"cad",809.689999999997,468.7,1.7,13,3,13,0,"voiceless","young"
"monk",592.479999999998,455.600000000002,2.97,71.0000000000003,3,164,0,"voiced","young"
"mite",725.950000000003,433.299999999998,2.47,27.9999999999999,2,33,0,"voiced","young"
"grave",611.830000000003,479.9,3.23,540.999999999999,11,385,0,"voiced","young"
"mile",559.339999999998,441.200000000001,5.1,621.000000000001,5.99999999999997,3075,0,"voiced","young"
"cup",568.519999999999,459.100000000002,6.33,1088,20.9999999999999,1375,71,"voiceless","young"
"ward",720.289999999997,458.5,2.87,447.000000000001,93.9999999999997,550,0,"voiced","young"
"aide",693.500000000003,462.400000000001,3.27,101,2,176,0,"voiced","young"
"ware",676.080000000002,448.100000000001,2.7,20.9999999999999,17.0000000000001,28,1,"voiced","young"
"wand",680.539999999998,448.100000000001,2.5,28.9999999999999,2,37,0,"voiced","young"
"cam",633.780000000003,460.200000000002,1.43,31.0000000000001,3,32,0,"voiceless","young"
"cur",548.429999999998,491.899999999998,1.73,8.00000000000003,4,8,0,"voiceless","young"
"style",613.210000000002,484.999999999998,5.03,1574.99999999999,17.9999999999999,1876,85,"voiceless","young"
"can",585.589999999997,456.600000000002,6.5,37266.0000000016,13,166,71028,"voiceless","young"
"crate",692.740000000002,496.399999999999,3.33,49.0000000000002,3,100,14,"voiceless","young"
"milk",535.31,429.000000000001,5.7,1869,17.9999999999999,1792,174,"voiced","young"
"leaf",569.500000000002,456.499999999999,4.5,280,20,1452,37,"voiced","young"
"jute",765.800000000005,475.200000000002,1.37,6.99999999999998,2,6,0,"voiced","young"
"fry",618.929999999998,475.800000000001,4.87,157,9,57,382,"voiceless","young"
"cap",580.37,445.400000000001,4.13,489.999999999999,17.9999999999999,660,62,"voiceless","young"
"mill",669.500000000002,433.899999999998,2.83,189,23,273,103,"voiced","young"
"car",502.599999999999,455.900000000002,6.3,4944.99999999999,22.0000000000001,6342,0,"voiceless","young"
"cat",513.13,459.000000000002,4.97,740.000000000003,24.0000000000001,1195,0,"voiceless","young"
"teak",639.800000000001,476.399999999998,1.37,20.9999999999999,2,20,0,"voiceless","young"
"peak",607.720000000003,471.600000000002,4,412.999999999999,5.99999999999997,520,21,"voiceless","young"
"peal",595.709999999999,463.400000000002,2.53,19,3,25,18,"voiceless","young"
"ledge",610.539999999998,475.600000000002,3.43,149,2,183,0,"voiced","young"
"team",618.590000000002,465.399999999999,5.33,1515,4,1813,0,"voiceless","young"
"mitt",687.999999999997,473.800000000003,3.13,1,2,5,0,"voiced","young"
"leave",547.859999999998,454.099999999998,5.93,4356,5,175,14042,"voiced","young"
"frog",604.970000000002,465.9,4.17,75,9,168,0,"voiceless","young"
"ford",703.829999999997,483.999999999999,4.2,9,4,5,15,"voiceless","young"
"swath",732.689999999996,483.899999999998,1.64,19,3,35,0,"voiceless","young"
"wheel",569.029999999998,468.7,4.63,515.000000000002,27,792,166,"voiced","young"
"peer",634.670000000001,451.899999999998,4.47,125,6.99999999999998,212,492,"voiceless","young"
"wart",657.740000000004,439.8,2.97,15,4,45,0,"voiced","young"
"pear",608.570000000002,473.299999999999,4.43,45,2,112,0,"voiceless","young"
"graft",701.830000000001,475.700000000002,2.37,28.9999999999999,5.99999999999997,24,39,"voiced","young"
"cyst",814.749999999999,541.699999999998,2.47,3,3,6,0,"voiceless","young"
"peat",706.75,505.600000000001,1.63,67.0000000000003,3,66,0,"voiceless","young"
"flea",650.139999999999,492.000000000001,3.07,31.0000000000001,5.99999999999997,70,0,"voiceless","young"
"speck",724.25,516.799999999999,3.47,53.9999999999998,4,80,0,"voiceless","young"
"script",576.930000000002,487.600000000002,3.77,242.000000000001,10,318,0,"voiceless","young"
"fork",586.070000000003,460.300000000002,5.83,244,14,266,49,"voiceless","young"
"norm",606.880000000001,465.000000000002,3.83,123,16,183,0,"voiced","young"
"form",610.439999999997,484.999999999998,4.8,4798,63.9999999999999,5611,2256,"voiceless","young"
"spleen",752.52,516.6,2.87,25,3,25,0,"voiceless","young"
"saint",579.789999999998,490.199999999999,4.3,174,8.00000000000003,320,0,"voiceless","young"
"wheat",593.709999999997,463.699999999998,4.1,527.999999999999,4,527,0,"voiced","young"
"truce",684.569999999999,462.799999999999,3.6,60.9999999999999,2,61,0,"voiceless","young"
"flag",644.210000000001,491.1,3.97,357,11,461,57,"voiceless","young"
"file",609.550000000003,469.799999999999,4.97,510.999999999998,4,683,372,"voiceless","young"
"fort",711.130000000002,463.799999999999,2.8,412.000000000002,2,453,0,"voiceless","young"
"font",737.13,477.800000000001,4.69,25,2,24,0,"voiceless","young"
"truck",627.300000000002,468.399999999999,4.93,445,4,652,0,"voiceless","young"
"film",542.270000000003,477.800000000001,5.31,1583,12,2083,154,"voiceless","young"
"gulf",701.370000000001,468.399999999999,3.23,266,3,276,0,"voiced","young"
"prose",677.809999999998,498.899999999999,2.9,129,6.99999999999998,130,0,"voiceless","young"
"gleam",706.519999999998,497.399999999998,2.9,93.0000000000004,3,89,290,"voiced","young"
"trust",621.309999999999,465.8,5.37,1205.00000000001,23,804,858,"voiceless","young"
"flux",678.499999999998,475.499999999997,2.53,53.9999999999998,4,53,0,"voiceless","young"
"state",617.069999999999,506.799999999998,5.2,5299.99999999999,33.9999999999999,5794,904,"voiceless","young"
"siege",654.519999999997,505.399999999998,3.03,150.000000000001,4,158,0,"voiceless","young"
"ooze",673.71,487.200000000001,2.97,22.0000000000001,4,13,68,"voiced","young"
"bread",550.999999999998,469.999999999998,5.57,1328,13,1327,0,"voiced","young"
"gull",752.429999999996,464.6,2.13,24.0000000000001,8.00000000000003,82,0,"voiced","young"
"case",633.169999999998,475.899999999998,5.13,6867.00000000003,25,8871,11,"voiceless","young"
"gore",734.079999999999,486.199999999999,3.17,16,5,11,19,"voiced","young"
"fluff",624.000000000001,496.099999999998,3.17,30.0000000000001,5,25,18,"voiceless","young"
"flex",573.959999999997,476.9,4.43,58,11,26,92,"voiceless","young"
"flaw",645.79,497,4.1,66.0000000000003,5,100,45,"voiceless","young"
"chess",520.33,462.6,3.17,265,4,264,0,"voiceless","young"
"grille",795.499999999998,508.199999999998,2.93,50.0000000000002,2,68,0,"voiced","young"
"flax",711.439999999997,473.299999999999,1.93,39.0000000000001,3,38,0,"voiceless","young"
"cake",517.34,450.199999999999,4.4,384.000000000001,22.0000000000001,610,41,"voiceless","young"
"chest",544.130000000003,444.299999999999,4.5,779.000000000001,6.99999999999998,853,0,"voiceless","young"
"year",601.289999999997,456.600000000002,5.37,9106.00000000002,11,25476,0,"voiced","young"
"cash",518.930000000001,448.800000000001,5.67,975.999999999998,5,899,121,"voiceless","young"
"cage",576.21,471.4,3.5,226.000000000001,6.99999999999998,288,35,"voiceless","young"
"song",594.68,465.9,5.77,588.000000000002,13,897,0,"voiceless","young"
"gong",725.370000000001,468.399999999999,2.27,27,3,34,2,"voiced","young"
"trout",656.309999999997,479.6,3.27,561.000000000002,2,561,0,"voiceless","young"
"spa",663.399999999998,494.299999999998,3.37,32.0000000000001,2,36,0,"voiceless","young"
"glue",624.72,475.299999999998,3.7,56,4,56,52,"voiced","young"
"cask",709.640000000002,475.499999999997,1.53,16,2,20,0,"voiceless","young"
"stall",585.680000000002,478.100000000001,3.8,130,11,224,72,"voiceless","young"
"slug",643.13,487.600000000002,3,42.9999999999999,6.99999999999998,59,12,"voiceless","young"
"slab",696.719999999997,490.199999999999,2.83,103,2,162,0,"voiceless","young"
"skunk",657.359999999998,502.799999999999,3.1,4,3,4,0,"voiceless","young"
"glee",689.889999999997,492.200000000002,2.5,66.0000000000003,4,65,0,"voiced","young"
"kite",548.000000000003,466.6,3.33,55,4,83,0,"voiceless","young"
"scope",586.3,494.799999999998,3.93,305,15,304,0,"voiceless","young"
"slum",702.739999999999,467.800000000001,3.57,91.9999999999999,4,205,5,"voiceless","young"
"pod",658.960000000005,484.200000000001,3,41.0000000000001,3,63,0,"voiceless","young"
"side",599.220000000001,473.899999999999,5.37,6944.00000000002,96.9999999999997,8143,28,"voiceless","young"
"reed",698.140000000002,458.900000000001,2.77,99,4,177,0,"voiced","young"
"sort",606.759999999999,447.4,4.47,5884.00000000001,5,6059,719,"voiceless","young"
"mirth",702.679999999999,469.999999999998,1.93,38.0000000000002,5,37,0,"voiced","young"
"van",629.150000000002,478.000000000002,4.23,972.000000000001,3,1034,0,"voiced","young"
"silk",600.930000000002,476.299999999998,3.6,441.000000000002,6.99999999999998,474,0,"voiceless","young"
"lute",623.450000000003,462.899999999998,2.17,19,4,20,0,"voiced","young"
"glen",722.999999999997,484.900000000002,2.27,27.9999999999999,2,27,0,"voiced","young"
"sill",795.240000000004,482.700000000001,2.77,51.0000000000002,3,63,0,"voiceless","young"
"gill",842.430000000002,513.899999999998,2.63,14,3,76,0,"voiced","young"
"vet",706.080000000002,477.3,3.4,85.0000000000003,3,109,49,"voiced","young"
"veil",641.289999999998,469.9,2.94,134,5,166,28,"voiced","young"
"scrap",636.199999999998,493.1,4.03,137.999999999999,9,183,63,"voiceless","young"
"zeal",679.690000000001,507.399999999999,2.63,86.9999999999997,5.99999999999997,86,0,"voiced","young"
"vein",598.180000000003,475.800000000001,4.13,93.9999999999997,8.00000000000003,269,0,"voiced","young"
"veal",651.729999999998,488.4,2.93,89,2,88,0,"voiced","young"
"rein",718.539999999998,475.600000000002,2.7,45,5,92,19,"voiced","young"
"lodge",596.570000000001,468.7,3.3,250.999999999999,6.99999999999998,264,132,"voiced","young"
"jug",596.170000000001,459.699999999999,3.47,153.000000000001,5,184,5,"voiced","young"
"angst",680.14,474.400000000002,2.7,10,2,9,0,"voiced","young"
"slat",705.709999999999,475.399999999998,1.87,1,3,15,0,"voiceless","young"
"skiff",569.859999999999,499.200000000001,1.5,4,2,4,0,"voiceless","young"
"ream",779.630000000002,476.9,2.83,4,2,9,0,"voiced","young"
"earth",554.429999999997,465.299999999999,5.43,2205.00000000001,20,2217,9,"voiced","young"
"weight",563.519999999999,440.599999999999,5.27,1664.99999999999,32.0000000000001,1803,43,"voiced","young"
"lord",592.479999999998,452.600000000002,4.1,147,12,176,73,"voiced","young"
"kilt",731.680000000004,478.299999999999,2.47,27,2,34,0,"voiceless","young"
"jig",662.650000000002,439.2,2.43,23,8.00000000000003,23,20,"voiced","young"
"gilt",722.729999999998,473.499999999999,1.83,121,3,120,0,"voiced","young"
"screw",590.319999999999,501.100000000001,4.47,226.999999999999,14,187,316,"voiceless","young"
"pore",688.56,467.7,3.17,11,5,54,0,"voiceless","young"
"pond",572.370000000001,446.199999999999,3.53,258.000000000001,5,339,0,"voiceless","young"
"lore",679.579999999996,470.599999999999,2.1,47.0000000000001,4,46,0,"voiced","young"
"tone",566.929999999999,456.300000000002,3.93,786.999999999997,27,955,23,"voiceless","young"
"pot",631.530000000002,466.100000000002,4.67,416.999999999999,47.9999999999999,642,15,"voiceless","young"
"shrub",634.389999999998,472.999999999999,3.17,67.0000000000003,3,133,0,"voiceless","young"
"rear",576.930000000002,472.999999999999,4.63,456.000000000002,10,400,294,"voiced","young"
"pulp",597.339999999999,454.8,3.03,74,5,71,19,"voiceless","young"
"plea",633.029999999997,490.199999999999,2.83,131,2,180,0,"voiceless","young"
"lobe",686.559999999997,466.500000000001,3.5,42.0000000000001,5,69,0,"voiced","young"
"hawk",597.320000000001,467.499999999999,3.03,72.0000000000003,6.99999999999998,109,47,"voiceless","young"
"flint",641.069999999999,493.2,2.6,219,5.99999999999997,236,0,"voiceless","young"
"dough",654.560000000001,509.599999999998,3.67,184.999999999999,5,184,0,"voiced","young"
"doe",784.379999999997,615.599999999997,2.37,50.0000000000002,4,49,0,"voiced","old"
"whore",794.100000000004,762.500000000002,4.43,91.9999999999999,4,142,0,"voiceless","old"
"stress",691.330000000002,656.599999999999,5.6,669.000000000001,5,565,473,"voiceless","old"
"pork",697.109999999999,604.500000000001,3.87,150.999999999999,6.99999999999998,150,0,"voiceless","old"
"plug",763.130000000003,616.100000000003,3.93,133,9,170,120,"voiceless","old"
"prop",860.440000000002,684.9,3.27,118.000000000001,4,125,280,"voiceless","old"
"dawn",733.680000000001,646.599999999998,3.73,591.999999999997,3,582,110,"voiced","old"
"dog",715.129999999997,616.5,5.67,1285.99999999999,40.0000000000001,2061,76,"voiced","old"
"arc",913.559999999998,645.900000000002,3.1,133,5,144,4,"voiced","old"
"skirt",782.799999999999,699.200000000003,4.43,375.999999999998,5.99999999999997,522,86,"voiceless","old"
"spree",888.19,691.700000000001,3.27,30.0000000000001,2,32,0,"voiceless","old"
"are",798.689999999999,615.699999999997,6.73,79196.9999999985,15,1,0,"voiced","old"
"sprig",966.999999999996,733.400000000003,1.72,33.9999999999999,3,48,0,"voiceless","old"
"pipe",682.800000000003,669.799999999997,3.3,402.999999999999,23,558,73,"voiceless","old"
"hooch",1069.42,714.899999999995,2.23,6.99999999999998,2,6,0,"voiceless","old"
"guard",689.240000000001,613.999999999998,4.33,731.000000000001,24.0000000000001,935,329,"voiced","old"
"tile",710.999999999999,664.700000000002,3.8,59,5.99999999999997,174,60,"voiceless","old"
"slope",885.54,672.600000000001,4.1,330.999999999999,3,464,143,"voiceless","old"
"pile",675.070000000003,598.600000000001,4.66,474.000000000001,9,532,371,"voiceless","old"
"greed",757.8,732.100000000002,4.13,153.000000000001,6.99999999999998,152,0,"voiced","old"
"plum",675.13,681.199999999998,3.4,52.9999999999999,4,108,0,"voiceless","old"
"pith",976.049999999997,701.999999999999,1.97,12,5,11,0,"voiceless","old"
"whorl",894.149999999995,731.899999999999,1.44,2,3,8,0,"voiced","old"
"tide",656.669999999998,594.8,3.28,438.999999999999,15,546,0,"voiceless","old"
"jet",714.300000000002,641.200000000001,3.67,223,8.00000000000003,337,10,"voiced","old"
"blitz",816.450000000001,693.8,2.83,66.0000000000003,3,65,27,"voiced","old"
"weed",736.970000000001,644.899999999999,4.13,168,12,358,81,"voiced","old"
"prow",907.759999999996,691.900000000003,1.93,20,2,20,0,"voiceless","old"
"port",749.820000000002,664.100000000002,3.03,438.999999999999,17.0000000000001,579,0,"voiceless","old"
"beach",764.380000000002,695.1,3.9,1061,5.99999999999997,1449,16,"voiced","old"
"while",723.430000000002,667.399999999997,6.03,11006,6.99999999999998,2861,0,"voiced","old"
"jaw",726.69,643.100000000002,3.73,223,6.99999999999998,387,6,"voiced","old"
"arm",681.210000000003,645.199999999997,5.23,1896.99999999999,39.0000000000001,3766,100,"voiced","old"
"plan",687.929999999996,675.099999999997,5.27,1742,5.99999999999997,2416,3013,"voiceless","old"
"pill",787.599999999999,599.2,4.63,234,4,507,0,"voiceless","old"
"loft",828.339999999999,636.399999999999,3.5,47.0000000000001,8.00000000000003,53,2,"voiced","old"
"grouch",846.829999999996,677.700000000002,3.63,4,5,4,0,"voiced","old"
"spire",840.540000000002,757.200000000002,2.03,96.0000000000003,5,132,0,"voiceless","old"
"plate",718.199999999998,661.699999999998,5.57,657,27.9999999999999,995,10,"voiceless","old"
"week",768.690000000004,680.899999999999,6.17,4854.00000000001,16,7712,0,"voiced","old"
"spine",753.5,726.9,4.47,205,6.99999999999998,242,0,"voiceless","old"
"glove",824.140000000002,647.6,4.4,83.0000000000002,5.99999999999997,348,0,"voiced","old"
"beast",809.769999999999,717.800000000002,3.47,299.000000000001,9,492,0,"voiced","old"
"art",738.200000000001,591.9,4.77,2973.00000000001,19,3006,0,"voiced","old"
"lisle",978.92,701,1.31,5,2,4,0,"voiced","old"
"ant",715.039999999999,613.899999999999,3.63,70.0000000000001,249.000000000001,209,0,"voiced","old"
"chunk",824.25,631.399999999999,3.83,62.9999999999998,3,146,0,"voiceless","old"
"ease",796.200000000003,656.499999999999,4.17,579.999999999997,16,415,404,"voiced","old"
"yore",905.389999999996,662.999999999998,1.43,5.99999999999997,2,5,0,"voiced","old"
"brute",704.729999999997,652.900000000002,3.03,90.0000000000005,10,62,0,"voiced","old"
"globe",761.400000000002,683,3.47,184.999999999999,6.99999999999998,201,0,"voiced","old"
"crest",795.869999999997,671.299999999996,3.37,108,5,139,8,"voiceless","old"
"churn",869.589999999999,643.100000000002,2.53,23,4,15,89,"voiceless","old"
"cloth",771.309999999997,686.500000000003,4.63,810.999999999997,20,875,0,"voiceless","old"
"shirt",767.480000000001,653.299999999997,5.9,813,15,1096,0,"voiceless","old"
"froth",895.819999999996,699.900000000004,2.13,40.0000000000001,5.99999999999997,35,26,"voiceless","old"
"czar",879.320000000003,777.800000000002,2.73,20.9999999999999,2,24,0,"voiced","old"
"chive",816.920000000002,731.799999999995,2.6,3,2,25,0,"voiceless","old"
"east",893.999999999996,720.099999999999,4.73,772.000000000003,40.0000000000001,578,0,"voiced","old"
"cliff",712.41,658.899999999997,3.13,265,3,438,0,"voiceless","old"
"moose",759.690000000002,694.200000000003,2.9,15,2,14,0,"voiced","old"
"dearth",981.909999999995,779.599999999996,1.9,17.0000000000001,2,16,0,"voiced","old"
"bride",718.799999999997,653.599999999998,3.4,188,6.99999999999998,217,0,"voiced","old"
"roach",758.399999999998,637.499999999999,3.23,115,3,117,0,"voiced","old"
"base",721.610000000001,627.700000000002,4.3,1188,17.0000000000001,1432,0,"voiced","old"
"zone",722.299999999999,656.300000000002,4.53,203,5.99999999999997,290,6,"voiced","old"
"face",699.470000000003,647.699999999999,5.97,8000.99999999996,52.9999999999999,8248,2438,"voiceless","old"
"chop",678.210000000002,641.999999999999,3.6,132,10,102,349,"voiceless","old"
"sketch",792.240000000003,725.499999999998,3.93,155.000000000001,11,199,109,"voiceless","old"
"woe",771,628.299999999999,2.67,49.0000000000002,4,68,0,"voiced","old"
"light",670.070000000002,627.500000000001,6.07,5154,74,5219,977,"voiced","old"
"fawn",810.380000000002,698.399999999998,2.47,28.9999999999999,3,27,20,"voiceless","old"
"rite",980.080000000004,603.500000000002,3.27,58,9,144,0,"voiced","old"
"plough",839.670000000001,715.000000000002,2.52,178.999999999999,8.00000000000003,118,285,"voiceless","old"
"jack",713.170000000001,644.600000000001,3.83,74,30.0000000000001,104,0,"voiced","old"
"back",710.55,637.099999999998,5.8,22071.9999999995,115,3514,504,"voiced","old"
"chow",791.270000000002,668.299999999997,3.59,16,2,15,0,"voiceless","old"
"cent",755.530000000001,642.199999999998,5.37,10039,2,5155,0,"voiceless","old"
"batch",735.330000000004,629.899999999998,3.4,72.0000000000003,2,91,0,"voiced","old"
"bitch",775.270000000002,700.799999999999,5.67,273,5.99999999999997,289,21,"voiced","old"
"fact",666.07,621.799999999998,5.27,9131,5,10251,0,"voiceless","old"
"fence",720,684.099999999998,3.87,399.999999999999,4,537,45,"voiceless","old"
"string",761.890000000002,712.600000000003,4.53,407.999999999999,12,562,97,"voiceless","old"
"strife",836.970000000002,717.999999999997,2.8,111.999999999999,2,111,0,"voiceless","old"
"sprite",866.969999999999,742.9,4.3,6.99999999999998,2,10,0,"voiceless","old"
"herb",780.640000000002,698.3,3.7,88.0000000000003,6.99999999999998,269,0,"voiceless","old"
"herd",757.970000000003,595.599999999998,3.13,178.000000000001,10,282,80,"voiceless","old"
"grove",811.14,675.700000000001,2.8,144.999999999999,2,192,0,"voiced","old"
"wow",884.920000000004,662.600000000003,5.5,36.9999999999998,2,1,0,"voiced","old"
"word",723.790000000001,624.699999999997,6.52,3951.00000000004,27.9999999999999,8828,35,"voiced","old"
"sake",908.360000000002,669.400000000003,3.77,932.000000000008,4,909,0,"voiceless","old"
"knoll",792.789999999998,703.999999999999,2.4,33,2,35,0,"voiced","old"
"sash",800.590000000001,743.200000000001,2.56,42.0000000000001,4,53,0,"voiceless","old"
"aisle",859.790000000004,646.9,4.1,130,2,174,0,"voiced","old"
"knife",693.670000000002,666.800000000001,4.73,663.999999999997,17.9999999999999,791,42,"voiced","old"
"flame",714.13,704.700000000002,4.13,269,13,458,26,"voiceless","old"
"worm",776.67,646.499999999999,3.17,134,19,302,27,"voiced","old"
"torque",1045.86,692.199999999997,2.6,38.0000000000002,2,38,0,"voiceless","old"
"sack",822.539999999997,695.399999999999,4.07,242.000000000001,10,320,176,"voiceless","old"
"hearth",855.789999999998,713.100000000002,2.97,81.0000000000001,4,87,0,"voiceless","old"
"do",740.140000000003,659.5,6.47,38344.0000000012,17.9999999999999,18,80717,"voiced","old"
"flail",1022.94000000001,746.299999999999,3,16,3,9,48,"voiceless","old"
"branch",778.099999999997,623.9,4,962.000000000003,4,1678,53,"voiced","old"
"thought",735.210000000002,672.299999999999,6.37,12867.0000000001,14,3434,0,"voiceless","old"
"theme",766.530000000001,687.800000000003,4.47,497,3,657,0,"voiceless","old"
"grill",844.140000000003,670.799999999997,4.33,79.9999999999999,4,51,104,"voiced","old"
"debt",717.660000000001,673.600000000002,4.5,454.000000000001,5,586,0,"voiced","old"
"eel",858.039999999999,728.399999999998,2.6,79.9999999999999,3,146,0,"voiced","old"
"bowl",761.240000000003,670.299999999999,5.37,526,9,591,229,"voiced","old"
"book",791.729999999998,642.300000000002,6.72,4933.00000000001,60.9999999999999,7780,290,"voiced","old"
"sense",738.519999999998,691.700000000001,4.93,5149.99999999999,34.9999999999999,4909,706,"voiceless","old"
"flair",772.280000000003,680.399999999996,3.06,55,2,54,0,"voiceless","old"
"swine",782.249999999999,716.400000000002,2.83,36.9999999999998,5.99999999999997,36,0,"voiceless","old"
"stance",802.430000000001,711.799999999999,3.73,242.000000000001,2,268,0,"voiceless","old"
"church",699.59,700.099999999998,4.23,2845,6.99999999999998,3287,1,"voiceless","old"
"boon",1049.59,722.899999999999,2.03,716.000000000003,2,716,0,"voiced","old"
"stench",857.130000000002,721.199999999998,3.6,76.9999999999997,2,78,0,"voiceless","old"
"blast",754.929999999997,620.399999999997,3.83,200.000000000001,6.99999999999998,195,126,"voiced","old"
"ear",704.360000000002,669.899999999999,5.53,752,22.0000000000001,1570,0,"voiced","old"
"draft",760.47,642.399999999999,4.1,200.000000000001,5.99999999999997,218,105,"voiced","old"
"boss",719.280000000002,597.4,4.57,413.999999999998,8.00000000000003,481,46,"voiced","old"
"lake",674.070000000001,654.700000000003,4.33,719.000000000002,2,889,0,"voiced","old"
"boot",728.399999999998,647.999999999997,4.83,160,15,702,7,"voiced","old"
"page",664.100000000002,624.400000000002,5.97,1075,8.00000000000003,1761,8,"voiceless","old"
"psalm",893.539999999997,800.199999999997,3.03,40.0000000000001,4,51,0,"voiceless","old"
"pace",755.47,646.599999999998,3.57,630.000000000001,6.99999999999998,671,192,"voiceless","old"
"lace",688.829999999999,610.600000000001,3.33,191,9,226,82,"voiced","old"
"task",691.14,628.299999999999,4,1175,5.99999999999997,1484,1,"voiceless","old"
"pawn",813,635.500000000001,2.67,41.0000000000001,5.99999999999997,60,27,"voiceless","old"
"lawn",882.600000000003,621.400000000002,4.2,369.000000000001,3,482,0,"voiced","old"
"court",667.340000000002,659.900000000002,4.8,2277,24.0000000000001,2639,105,"voiceless","old"
"dwarf",851.469999999996,664.9,3.03,130,4,197,47,"voiced","old"
"count",669.139999999998,645.500000000002,5.07,1394,17.0000000000001,973,1122,"voiceless","old"
"pack",691.030000000001,609.500000000003,4.83,480.000000000002,20,353,688,"voiceless","old"
"nonce",1209.17,671.600000000003,1.27,3,3,2,0,"voiced","old"
"shame",758.629999999998,609.1,4.23,428.000000000001,14,419,40,"voiceless","old"
"stole",703.320000000002,658.899999999997,4.09,188,2,32,0,"voiceless","old"
"lass",864.290000000004,647.1,1.7,25,3,30,0,"voiced","old"
"freight",836.699999999998,699.999999999997,3.07,99.9999999999999,5.99999999999997,99,5,"voiceless","old"
"coke",746.310000000005,607.900000000002,6.1,101,4,109,2,"voiceless","old"
"whack",862.549999999997,681.899999999995,3.24,23,5.99999999999997,9,30,"voiced","old"
"stunt",832.929999999995,722.000000000003,3.3,70.0000000000001,3,82,63,"voiceless","old"
"clause",806.760000000004,716.799999999999,3.17,128,2,186,0,"voiceless","old"
"tact",711.550000000001,686.8,3.5,76.9999999999997,6.99999999999998,76,0,"voiceless","old"
"pact",714.929999999998,632.9,3.33,330.000000000001,2,337,0,"voiceless","old"
"cowl",1016.33,749.100000000002,1.33,5.99999999999997,3,5,5,"voiceless","old"
"verve",866.290000000002,676.499999999998,2.17,10,2,9,0,"voiced","old"
